huc2,id,lon,lat
00,244541,-116.46875,51.59375
00,244542,-116.46875,51.65625
00,244543,-116.46875,51.71875
00,244544,-116.40625,51.59375
00,244545,-116.40625,51.65625
00,244546,-116.34375,51.46875
00,244547,-116.34375,51.53125
00,244548,-116.34375,51.59375
00,244549,-116.34375,51.65625
00,244550,-116.28125,51.34375
00,244551,-116.28125,51.40625
00,244552,-116.28125,51.46875
00,244553,-116.28125,51.53125
00,244554,-116.28125,51.59375
00,244555,-116.28125,51.65625
00,244556,-116.21875,51.34375
00,244557,-116.21875,51.40625
00,244558,-116.21875,51.46875
00,244559,-116.21875,51.53125
00,244560,-116.21875,51.59375
00,244561,-116.21875,51.65625
00,244562,-116.15625,51.28125
00,244563,-116.15625,51.34375
00,244564,-116.15625,51.40625
00,244565,-116.15625,51.46875
00,244566,-116.15625,51.53125
00,244567,-116.15625,51.59375
00,244568,-116.15625,51.65625
00,244569,-116.09375,51.28125
00,244570,-116.09375,51.34375
00,244571,-116.09375,51.40625
00,244572,-116.09375,51.46875
00,244573,-116.09375,51.53125
00,244574,-116.09375,51.59375
00,244575,-116.09375,51.65625
00,244576,-116.03125,51.28125
00,244577,-116.03125,51.34375
00,244578,-116.03125,51.40625
00,244579,-116.03125,51.46875
00,244580,-115.96875,51.21875
00,244581,-115.96875,51.28125
00,244582,-115.96875,51.34375
00,244583,-115.96875,51.40625
00,244584,-115.96875,51.46875
00,244585,-115.90625,51.21875
00,244586,-115.90625,51.28125
00,244587,-115.90625,51.34375
00,244588,-115.90625,51.40625
00,244589,-115.84375,51.28125
00,244590,-115.84375,51.34375
00,244591,-115.78125,51.28125
00,244592,-115.96875,51.15625
00,244593,-115.90625,51.09375
00,244594,-115.90625,51.15625
00,244595,-115.84375,51.09375
00,244596,-115.84375,51.15625
00,244597,-115.84375,51.21875
00,244598,-115.78125,51.09375
00,244599,-115.78125,51.15625
00,244600,-115.78125,51.21875
00,244601,-115.71875,51.03125
00,244602,-115.71875,51.09375
00,244603,-115.71875,51.15625
00,244604,-115.71875,51.21875
00,244605,-115.71875,51.28125
00,244606,-115.71875,51.34375
00,244607,-115.65625,51.03125
00,244608,-115.65625,51.09375
00,244609,-115.65625,51.15625
00,244610,-115.65625,51.21875
00,244611,-115.65625,51.28125
00,244612,-115.59375,50.96875
00,244613,-115.59375,51.03125
00,244614,-115.59375,51.09375
00,244615,-115.59375,51.15625
00,244616,-115.59375,51.21875
00,244617,-115.53125,50.96875
00,244618,-115.59375,50.84375
00,244619,-115.53125,50.84375
00,244620,-115.53125,50.90625
00,244621,-115.53125,51.03125
00,244622,-115.53125,51.09375
00,244623,-115.53125,51.15625
00,244624,-115.46875,50.78125
00,244625,-115.46875,50.84375
00,244626,-115.46875,50.90625
00,244627,-115.46875,50.96875
00,244628,-115.46875,51.03125
00,244629,-115.46875,51.09375
00,244630,-115.40625,50.71875
00,244631,-115.40625,50.78125
00,244632,-115.40625,50.84375
00,244633,-115.40625,50.90625
00,244634,-115.40625,50.96875
00,244635,-115.40625,51.03125
00,244636,-115.34375,50.78125
00,244637,-115.34375,50.84375
00,244638,-115.34375,50.90625
00,244639,-115.34375,50.96875
00,244640,-115.28125,50.84375
00,244641,-115.28125,50.90625
00,244642,-115.28125,50.96875
00,244643,-115.84375,51.40625
00,244644,-115.78125,51.34375
00,244645,-115.78125,51.40625
00,244646,-115.71875,51.40625
00,244647,-115.71875,51.46875
00,244648,-115.65625,51.34375
00,244649,-115.65625,51.40625
00,244650,-115.65625,51.46875
00,244651,-115.59375,51.28125
00,244652,-115.59375,51.34375
00,244653,-115.59375,51.40625
00,244654,-115.53125,51.21875
00,244655,-115.53125,51.28125
00,244656,-115.53125,51.34375
00,244657,-115.53125,51.40625
00,244658,-115.46875,51.21875
00,244659,-115.46875,51.28125
00,244660,-115.40625,51.21875
00,244661,-115.40625,51.28125
00,244662,-115.34375,51.21875
00,244663,-115.28125,51.21875
00,244664,-115.28125,51.28125
00,244665,-115.21875,51.28125
00,244666,-115.15625,51.28125
00,244667,-115.46875,51.15625
00,244668,-115.40625,51.09375
00,244669,-115.40625,51.15625
00,244670,-115.34375,51.03125
00,244671,-115.34375,51.09375
00,244672,-115.34375,51.15625
00,244673,-115.28125,51.03125
00,244674,-115.28125,51.09375
00,244675,-115.28125,51.15625
00,244676,-115.21875,50.96875
00,244677,-115.21875,51.03125
00,244678,-115.21875,51.09375
00,244679,-115.21875,51.15625
00,244680,-115.15625,51.03125
00,244681,-115.15625,51.09375
00,244682,-115.15625,51.15625
00,244683,-115.09375,51.09375
00,244684,-115.09375,51.15625
00,244685,-115.03125,51.15625
00,244686,-114.96875,51.09375
00,244687,-114.96875,51.15625
00,244688,-114.96875,51.21875
00,244689,-114.90625,51.09375
00,244690,-114.90625,51.15625
00,244691,-114.90625,51.21875
00,244692,-114.84375,51.15625
00,244693,-114.78125,51.15625
00,244694,-114.78125,51.21875
00,244695,-114.71875,51.21875
00,244696,-114.71875,51.28125
00,244697,-114.65625,51.21875
00,244698,-115.28125,50.65625
00,244699,-115.28125,50.71875
00,244700,-115.28125,50.78125
00,244701,-115.21875,50.59375
00,244702,-115.21875,50.65625
00,244703,-115.21875,50.71875
00,244704,-115.21875,50.78125
00,244705,-115.21875,50.84375
00,244706,-115.21875,50.90625
00,244707,-115.15625,50.59375
00,244708,-115.15625,50.65625
00,244709,-115.15625,50.71875
00,244710,-115.15625,50.78125
00,244711,-115.15625,50.84375
00,244712,-115.15625,50.90625
00,244713,-115.15625,50.96875
00,244714,-115.09375,50.59375
00,244715,-115.09375,50.65625
00,244716,-115.09375,50.71875
00,244717,-115.09375,50.84375
00,244718,-115.09375,50.90625
00,244719,-115.09375,50.96875
00,244720,-115.09375,51.03125
00,244721,-115.03125,50.59375
00,244722,-115.03125,50.65625
00,244723,-115.03125,50.84375
00,244724,-115.03125,50.90625
00,244725,-115.03125,50.96875
00,244726,-115.03125,51.03125
00,244727,-115.03125,51.09375
00,244728,-114.96875,51.03125
00,244729,-115.46875,51.34375
00,244730,-115.46875,51.40625
00,244731,-115.40625,51.34375
00,244732,-115.40625,51.40625
00,244733,-115.34375,51.28125
00,244734,-115.34375,51.34375
00,244735,-115.34375,51.40625
00,244736,-115.28125,51.34375
00,244737,-115.28125,51.40625
00,244738,-115.21875,51.21875
00,244739,-115.21875,51.34375
00,244740,-115.21875,51.40625
00,244741,-115.15625,51.21875
00,244742,-115.15625,51.34375
00,244743,-115.15625,51.40625
00,244744,-115.09375,51.21875
00,244745,-115.09375,51.28125
00,244746,-115.09375,51.34375
00,244747,-115.09375,51.40625
00,244748,-115.03125,51.21875
00,244749,-115.03125,51.28125
00,244750,-115.03125,51.34375
00,244751,-115.03125,51.40625
00,244752,-114.96875,51.28125
00,244753,-114.96875,51.34375
00,244754,-114.90625,51.28125
00,244755,-114.90625,51.34375
00,244756,-114.84375,51.21875
00,244757,-114.84375,51.28125
00,244758,-114.78125,51.28125
00,244759,-114.96875,50.96875
00,244760,-114.90625,50.96875
00,244761,-114.90625,51.03125
00,244762,-114.84375,50.96875
00,244763,-114.84375,51.03125
00,244764,-114.84375,51.09375
00,244765,-114.78125,51.03125
00,244766,-114.78125,51.09375
00,244767,-114.71875,50.96875
00,244768,-114.71875,51.03125
00,244769,-114.71875,51.09375
00,244770,-114.71875,51.15625
00,244771,-114.71875,51.34375
00,244772,-114.65625,50.96875
00,244773,-114.65625,51.03125
00,244774,-114.65625,51.09375
00,244775,-114.65625,51.15625
00,244776,-114.65625,51.28125
00,244777,-114.65625,51.34375
00,244778,-114.59375,51.03125
00,244779,-114.59375,51.09375
00,244780,-114.59375,51.15625
00,244781,-114.59375,51.21875
00,244782,-114.59375,51.28125
00,244783,-114.59375,51.34375
00,244784,-114.53125,51.09375
00,244785,-114.53125,51.15625
00,244786,-114.53125,51.21875
00,244787,-114.53125,51.28125
00,244788,-114.53125,51.34375
00,244789,-114.46875,51.15625
00,244790,-114.46875,51.21875
00,244791,-114.46875,51.28125
00,244792,-114.40625,51.15625
00,244793,-114.40625,51.21875
00,244794,-114.40625,51.28125
00,244795,-114.40625,51.34375
00,244796,-114.34375,51.15625
00,244797,-114.34375,51.21875
00,244798,-114.34375,51.28125
00,244799,-114.34375,51.34375
00,244800,-114.28125,51.09375
00,244801,-114.28125,51.15625
00,244802,-114.28125,51.21875
00,244803,-114.28125,51.28125
00,244804,-114.28125,51.34375
00,244805,-114.21875,51.09375
00,244806,-114.21875,51.15625
00,244807,-114.21875,51.21875
00,244808,-114.21875,51.28125
00,244809,-114.21875,51.34375
00,244810,-114.21875,51.40625
00,244811,-114.15625,51.03125
00,244812,-114.15625,51.09375
00,244813,-114.15625,51.15625
00,244814,-114.15625,51.21875
00,244815,-114.15625,51.28125
00,244816,-114.15625,51.34375
00,244817,-114.15625,51.40625
00,244818,-114.15625,51.46875
00,244819,-114.09375,51.03125
00,244820,-114.09375,51.09375
00,244821,-114.09375,51.15625
00,244822,-114.09375,51.21875
00,244823,-114.09375,51.28125
00,244824,-114.09375,51.34375
00,244825,-114.09375,51.40625
00,244826,-114.09375,51.46875
00,244827,-114.03125,51.09375
00,244828,-114.03125,51.15625
00,244829,-114.03125,51.21875
00,244830,-114.03125,51.28125
00,244831,-114.03125,51.34375
00,244832,-114.03125,51.40625
00,244833,-113.96875,51.09375
00,244834,-113.96875,51.15625
00,244835,-113.96875,51.21875
00,244836,-113.96875,51.28125
00,244837,-113.96875,51.34375
00,244838,-113.90625,51.21875
00,244839,-115.09375,50.78125
00,244840,-115.03125,50.71875
00,244841,-115.03125,50.78125
00,244842,-114.96875,50.65625
00,244843,-114.96875,50.71875
00,244844,-114.96875,50.78125
00,244845,-114.96875,50.84375
00,244846,-114.96875,50.90625
00,244847,-114.90625,50.71875
00,244848,-114.90625,50.78125
00,244849,-114.90625,50.84375
00,244850,-114.90625,50.90625
00,244851,-114.84375,50.65625
00,244852,-114.84375,50.71875
00,244853,-114.84375,50.78125
00,244854,-114.84375,50.84375
00,244855,-114.84375,50.90625
00,244856,-114.78125,50.78125
00,244857,-114.78125,50.84375
00,244858,-114.78125,50.90625
00,244859,-114.78125,50.96875
00,244860,-114.71875,50.78125
00,244861,-114.71875,50.84375
00,244862,-114.71875,50.90625
00,244863,-114.65625,50.90625
00,244864,-114.59375,50.96875
00,244865,-114.53125,50.96875
00,244866,-114.53125,51.03125
00,244867,-114.46875,50.96875
00,244868,-114.46875,51.03125
00,244869,-114.46875,51.09375
00,244870,-114.40625,50.96875
00,244871,-114.40625,51.03125
00,244872,-114.40625,51.09375
00,244873,-114.34375,50.96875
00,244874,-114.34375,51.03125
00,244875,-114.34375,51.09375
00,244876,-114.28125,51.03125
00,244877,-114.21875,51.03125
00,244878,-114.15625,50.96875
00,244879,-116.03125,51.53125
00,244880,-116.03125,51.59375
00,244881,-116.03125,51.65625
00,244882,-116.03125,51.71875
00,244883,-115.96875,51.53125
00,244884,-115.96875,51.59375
00,244885,-115.96875,51.65625
00,244886,-115.96875,51.71875
00,244887,-115.90625,51.46875
00,244888,-115.90625,51.53125
00,244889,-115.90625,51.59375
00,244890,-115.90625,51.65625
00,244891,-115.90625,51.71875
00,244892,-115.84375,51.46875
00,244893,-115.84375,51.53125
